GLOBALEVENTID,SQLDATE,MonthYear,Year,FractionDate,Actor1Code,Actor1Name,Actor1CountryCode,Actor1KnownGroupCode,Actor1EthnicCode,Actor1Religion1Code,Actor1Religion2Code,Actor1Type1Code,Actor1Type2Code,Actor1Type3Code,Actor2Code,Actor2Name,Actor2CountryCode,Actor2KnownGroupCode,Actor2EthnicCode,Actor2Religion1Code,Actor2Religion2Code,Actor2Type1Code,Actor2Type2Code,Actor2Type3Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_FullName,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor2Geo_Type,Actor2Geo_FullName,Actor2Geo_CountryCode,Actor2Geo_ADM1Code,Actor2Geo_Lat,Actor2Geo_Long,Actor2Geo_FeatureID,ActionGeo_Type,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FeatureID,DATEADDED,SOURCEURL
49947922,20031218,200312,2003,2003.9534,USA,UNITED STATES,USA,,,,,,,,IRQ,IRAQI,IRQ,,,,,,,,1,180,180,18,4,-9.0,3,2,3,3.8005698005698,1,Iran,IR,IR,32.0,53.0,0,1,Iran,IR,IR,32.0,53.0,0,1,Iran,IR,IR,32.0,53.0,0,20130203,unspecified
49948456,20031218,200312,2003,2003.9534,USAGOVSPY,NEGROPONTE,USA,,,,,GOV,SPY,,IRQ,IRAQI,IRQ,,,,,,,,1,014,014,01,1,0.0,9,1,9,4.47761194029851,1,Iraq,IZ,IZ,33.0,44.0,0,1,Iraq,IZ,IZ,33.0,44.0,0,1,Iraq,IZ,IZ,33.0,44.0,0,20130203,unspecified
49948304,20031218,200312,2003,2003.9534,USAELI,UNITED STATES,USA,,,,,ELI,,,IRQ,IRAQI,IRQ,,,,,,,,1,040,040,04,1,1.0,9,1,9,6.13496932515337,1,United States,US,US,38.0,-97.0,0,1,Iraq,IZ,IZ,33.0,44.0,0,1,Iraq,IZ,IZ,33.0,44.0,0,20130203,unspecified
49948391,20031218,200312,2003,2003.9534,USAGOV,GEORGE W. BUSH,USA,,,,,GOV,,,IRQ,IRAQ,IRQ,,,,,,,,1,172,172,17,4,-5.0,7,1,7,2.38095238095238,1,Iraq,IZ,IZ,33.0,44.0,0,1,Iraq,IZ,IZ,33.0,44.0,0,1,Iraq,IZ,IZ,33.0,44.0,0,20130203,unspecified
49947895,20031218,200312,2003,2003.9534,USA,UNITED STATES,USA,,,,,,,,IRQ,IRAQ,IRQ,,,,,,,,1,072,072,07,2,8.3,12,2,12,3.44509948415623,1,United States,US,US,38.0,-97.0,0,1,Iraq,IZ,IZ,33.0,44.0,0,1,Iraq,IZ,IZ,33.0,44.0,0,20130203,unspecified
49947888,20031218,200312,2003,2003.9534,USA,UNITED STATES,USA,,,,,,,,IRQ,IRAQ,IRQ,,,,,,,,1,070,070,07,2,7.0,1,1,1,12.6760563380282,1,Iraq,IZ,IZ,33.0,44.0,0,1,Iraq,IZ,IZ,33.0,44.0,0,1,Iraq,IZ,IZ,33.0,44.0,0,20130203,unspecified
49947953,20031218,200312,2003,2003.9534,USA,AMERICAN,USA,,,,,,,,IRQGOV,IRAQI,IRQ,,,,,GOV,,,1,0841,084,08,2,7.0,3,1,3,6.13668061366806,2,"New York, United States",US,USNY,42.1497,-74.9384,0,1,Iraq,IZ,IZ,33.0,44.0,0,1,Iraq,IZ,IZ,33.0,44.0,0,20130203,unspecified
49948383,20031218,200312,2003,2003.9534,USAGOV,THE US,USA,,,,,GOV,,,IRQ,IRAQ,IRQ,,,,,,,,0,090,090,09,2,-2.0,4,1,4,3.94953373560066,1,Iraq,IZ,IZ,33.0,44.0,0,1,Iraq,IZ,IZ,33.0,44.0,0,1,Iraq,IZ,IZ,33.0,44.0,0,20130203,unspecified
49947901,20031218,200312,2003,2003.9534,USA,WASHINGTON,USA,,,,,,,,IRQ,IRAQ,IRQ,,,,,,,,1,090,090,09,2,-2.0,7,1,7,2.38095238095238,3,"White House, District of Columbia, United States",US,USDC,38.8951,-77.0364,531723,1,Iraq,IZ,IZ,33.0,44.0,0,1,Iraq,IZ,IZ,33.0,44.0,0,20130203,unspecified
49947894,20031218,200312,2003,2003.9534,USA,UNITED STATES,USA,,,,,,,,IRQ,IRAQ,IRQ,,,,,,,,1,072,072,07,2,8.3,6,2,6,3.44509948415623,1,India,IN,IN,20.0,77.0,0,1,Iraq,IZ,IZ,33.0,44.0,0,1,Iraq,IZ,IZ,33.0,44.0,0,20130203,unspecified
